date,open,high,low,close,adj_close,volume
1999-05-04,48.69657516479492,70.375,77.25,70.0,76.0,22320900
1999-05-05,47.83159255981445,69.125,69.875,66.25,69.875,7565700
1999-05-06,47.00991439819336,67.9375,69.375,67.0625,68.0,2905700
1999-05-07,51.291404724121094,74.125,74.875,66.75,67.9375,4862300
1999-05-10,48.912811279296875,70.6875,73.5,70.25,73.375,2589400
1999-05-11,48.86954879760742,70.625,71.1875,69.5,70.0,1839800
1999-05-12,50.858917236328125,73.5,74.875,69.125,71.0,2659300
1999-05-13,50.64267349243164,73.1875,75.25,72.5,73.25,1142900
1999-05-14,48.566837310791016,70.1875,72.25,69.0625,71.25,2058400
1999-05-17,47.48564147949219,68.625,70.25,68.0,69.125,2075000
1999-05-18,47.48564147949219,68.625,70.4375,68.125,68.25,1407100
1999-05-19,47.961360931396484,69.3125,69.8125,68.75,69.375,727400
1999-05-20,47.3126220703125,68.375,70.125,68.375,69.5625,520800
1999-05-21,46.707176208496094,67.5,68.8125,67.5,68.125,936200
1999-05-24,45.193511962890625,65.3125,67.25,65.0,67.0,1493000
1999-05-25,44.63129806518555,64.5,65.9375,64.0,64.125,1662400
1999-05-26,45.71247863769531,66.0625,66.625,63.0625,65.625,1602900
1999-05-27,46.88017654418945,67.75,67.75,64.6875,65.0,1220500
1999-05-28,47.00991439819336,67.9375,68.8125,67.0,67.75,901900
1999-06-01,44.415069580078125,64.1875,66.625,63.5625,66.625,953900
1999-06-02,43.766361236572266,63.25,64.0625,62.0,63.75,2204300
1999-06-03,44.025840759277344,63.625,64.1875,63.125,64.0,852600
1999-06-04,45.23678207397461,65.375,67.0,64.3125,64.3125,1357400
1999-06-07,45.62598419189453,65.9375,67.75,65.1875,65.1875,891900
1999-06-08,44.11233901977539,63.75,65.6875,63.75,65.375,571700
1999-06-09,45.323272705078125,65.5,65.5,63.625,64.25,611400
1999-06-10,43.85285568237305,63.375,64.9375,63.3125,64.875,664200
1999-06-11,43.766361236572266,63.25,64.3125,62.3125,63.9375,969300
1999-06-14,42.38245391845703,61.25,64.0,60.5,63.5,821100
1999-06-15,43.42039108276367,62.75,63.375,62.25,62.875,831700
1999-06-16,45.1502685546875,65.25,65.4375,63.9375,63.9375,690300
1999-06-17,44.97726058959961,65.0,66.875,64.5,64.5,955700
